StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q15_First Click,Q15_Last Click,Q15_Page Submit,Q15_Click Count,cute_calm,cute_nerv,cute_happy,cute_scared,Q17_First Click,Q17_Last Click,Q17_Page Submit,Q17_Click Count,scary_calm,scary_nerv,scary_scared,scary_happy,Q8_First Click,Q8_Last Click,Q8_Page Submit,Q8_Click Count,Q9_First Click,Q9_Last Click,Q9_Page Submit,Q9_Click Count,order,animal
2019-01-28 08:10:40,2019-01-28 08:11:45,0,144.121.36.209,100,65,1,2019-01-28 08:11:45,R_2fRcfuk8zkAbQ9X,,,,,42.317901611328125,-72.64019775390625,anonymous,EN,0,0,1.432,0,5,1,4,1,0,0,1.456,0,2,4,3,3,,,,,,,,,scary_cute,cat
2019-01-28 08:11:03,2019-01-28 08:11:45,0,144.121.36.211,100,42,1,2019-01-28 08:11:46,R_w5jWIjwokM6nH4l,,,,,42.317901611328125,-72.64019775390625,anonymous,EN,0,0,1.249,0,5,1,4,1,0,0,5.011,0,2,4,5,2,,,,,,,,,scary_cute,cat
2019-01-28 08:11:03,2019-01-28 08:11:54,0,144.121.36.210,100,51,1,2019-01-28 08:11:54,R_28ZJIew4ifGYhYf,,,,,42.317901611328125,-72.64019775390625,anonymous,EN,,,,,4,1,5,1,,,,,2,4,4,1,0,0,5.008,0,0,0,5.014,0,scary_cute,dog
2019-01-28 08:11:00,2019-01-28 08:11:54,0,144.121.36.211,100,54,1,2019-01-28 08:11:54,R_11cODDh3IYQMYOR,,,,,42.317901611328125,-72.64019775390625,anonymous,EN,,,,,4,1,5,1,,,,,1,4,3,1,0,0,5.152,0,0,0,5.042,0,scary_cute,dog
2019-01-28 08:10:54,2019-01-28 08:11:59,0,144.121.36.210,100,64,1,2019-01-28 08:11:59,R_3lrgt6y81T3lLZb,,,,,42.317901611328125,-72.64019775390625,anonymous,EN,0,0,5.108,0,4,1,4,1,0,0,5.009,0,3,2,2,3,,,,,,,,,cute_scary,cat
2019-01-28 08:11:07,2019-01-28 08:12:03,0,144.121.36.210,100,55,1,2019-01-28 08:12:03,R_3kh5zGR8NCKycic,,,,,42.317901611328125,-72.64019775390625,anonymous,EN,0,0,5.01,0,4,1,5,1,0,0,5.006,0,2,4,4,1,,,,,,,,,cute_scary,cat
2019-01-28 08:11:15,2019-01-28 08:12:05,0,144.121.36.212,100,49,1,2019-01-28 08:12:05,R_3RpRS4eGioP5Kdf,,,,,42.317901611328125,-72.64019775390625,anonymous,EN,0,0,2.657,0,2,4,3,1,0,0,4.699,0,2,4,2,3,,,,,,,,,cute_scary,cat
2019-01-28 08:11:04,2019-01-28 08:12:05,0,144.121.36.209,100,61,1,2019-01-28 08:12:06,R_1E6jeXFjhw0MZVN,,,,,42.317901611328125,-72.64019775390625,anonymous,EN,0,0,0.88,0,5,1,5,1,0,0,5.113,0,4,1,2,5,,,,,,,,,scary_cute,cat
2019-01-28 08:11:12,2019-01-28 08:12:06,0,144.121.36.212,100,53,1,2019-01-28 08:12:06,R_3EtAdTNaJELrOvc,,,,,42.317901611328125,-72.64019775390625,anonymous,EN,,,,,4,2,4,1,,,,,1,5,5,1,0,0,5.012,0,0,0,2.285,0,scary_cute,dog
2019-01-28 08:11:29,2019-01-28 08:12:08,0,144.121.36.210,100,39,1,2019-01-28 08:12:08,R_Twtdg08p5om1EDT,,,,,42.317901611328125,-72.64019775390625,anonymous,EN,0,0,1.929,0,5,1,5,1,0,0,1.886,0,2,4,3,1,,,,,,,,,scary_cute,cat
2019-01-28 08:11:06,2019-01-28 08:12:10,0,144.121.36.212,100,64,1,2019-01-28 08:12:11,R_1LT0uKH9zV9sDtj,,,,,42.317901611328125,-72.64019775390625,anonymous,EN,0,0,5.112,0,4,1,4,1,0,0,5.012,0,1,3,3,2,,,,,,,,,cute_scary,cat
2019-01-28 08:11:05,2019-01-28 08:12:11,0,144.121.36.212,100,65,1,2019-01-28 08:12:11,R_3ksRwQFTbbrKDQF,,,,,42.317901611328125,-72.64019775390625,anonymous,EN,0,0,5.112,0,4,1,5,1,0,0,5.017,0,1,3,4,2,,,,,,,,,scary_cute,cat
2019-01-28 08:11:19,2019-01-28 08:12:14,0,144.121.36.212,100,55,1,2019-01-28 08:12:14,R_3sjfJm7Xnzr3M23,,,,,42.317901611328125,-72.64019775390625,anonymous,EN,0,0,4.004,0,5,1,4,1,0,0,5.109,0,2,3,3,1,,,,,,,,,scary_cute,cat
2019-01-28 08:11:20,2019-01-28 08:12:15,0,144.121.36.211,100,54,1,2019-01-28 08:12:15,R_2tJWlaPBB7TjXuG,,,,,42.317901611328125,-72.64019775390625,anonymous,EN,0,0,1.883,0,4,1,4,2,0,0,3.251,0,3,1,5,3,,,,,,,,,cute_scary,cat
2019-01-28 08:10:53,2019-01-28 08:12:15,0,144.121.36.212,100,81,1,2019-01-28 08:12:15,R_1hzkx33lNatt91u,,,,,42.317901611328125,-72.64019775390625,anonymous,EN,0,0,5.109,0,2,1,3,1,0,0,5.112,0,4,2,1,2,,,,,,,,,cute_scary,cat
2019-01-28 08:11:12,2019-01-28 08:12:15,0,144.121.36.209,100,62,1,2019-01-28 08:12:15,R_exnp922pfPpb2Cd,,,,,42.317901611328125,-72.64019775390625,anonymous,EN,,,,,5,1,5,1,,,,,1,4,2,1,0,0,5.008,0,0,0,5.007,0,cute_scary,dog
2019-01-28 08:11:39,2019-01-28 08:12:18,0,144.121.36.210,100,38,1,2019-01-28 08:12:18,R_UEkWo0DIvL90nvj,,,,,42.317901611328125,-72.64019775390625,anonymous,EN,0,0,5.012,0,3,2,4,1,0,0,5.11,0,,,,,,,,,,,,,scary_cute,cat
2019-01-28 08:11:41,2019-01-28 08:12:22,0,144.121.36.209,100,40,1,2019-01-28 08:12:22,R_2QG0gZoh61MZV7V,,,,,42.317901611328125,-72.64019775390625,anonymous,EN,0,0,5.02,0,5,1,5,1,0,0,5.007,0,1,4,3,1,,,,,,,,,scary_cute,cat
2019-01-28 08:11:16,2019-01-28 08:12:22,0,144.121.36.209,100,66,1,2019-01-28 08:12:23,R_1RI0s0XSNlw55Zf,,,,,42.317901611328125,-72.64019775390625,anonymous,EN,,,,,4,1,4,1,,,,,2,4,4,2,0,0,5.008,0,0,0,5.008,0,cute_scary,dog
2019-01-28 08:11:12,2019-01-28 08:12:24,0,144.121.36.211,100,71,1,2019-01-28 08:12:24,R_1QGuNBhZtPowW2E,,,,,42.317901611328125,-72.64019775390625,anonymous,EN,,,,,5,1,4,1,,,,,2,4,5,1,0,0,2.146,0,0,0,5.011,0,scary_cute,dog
2019-01-28 08:11:12,2019-01-28 08:12:26,0,144.121.36.210,100,73,1,2019-01-28 08:12:26,R_1q1VuPgc34eA455,,,,,42.317901611328125,-72.64019775390625,anonymous,EN,,,,,5,1,5,1,,,,,3,3,4,3,0,0,6.874,0,0,0,3.189,0,cute_scary,dog
2019-01-28 08:11:02,2019-01-28 08:12:32,0,144.121.36.210,100,90,1,2019-01-28 08:12:32,R_ZJpJl8vUdmO8SK5,,,,,42.317901611328125,-72.64019775390625,anonymous,EN,,,,,4,,4,,,,,,,,2,,0,0,5.016,0,0,0,5.012,0,cute_scary,dog
2019-01-28 08:11:03,2019-01-28 08:12:33,0,144.121.36.210,100,89,1,2019-01-28 08:12:34,R_301RaK5jyzMjnJi,,,,,42.317901611328125,-72.64019775390625,anonymous,EN,,,,,3,1,4,1,,,,,2,3,4,2,0,0,5.109,0,0,0,5.008,0,cute_scary,dog
2019-01-28 08:11:02,2019-01-28 08:12:40,0,144.121.36.209,100,97,1,2019-01-28 08:12:40,R_1dnRxZtr3LRruO9,,,,,42.317901611328125,-72.64019775390625,anonymous,EN,,,,,5,1,5,1,,,,,3,1,1,4,0,0,1.969,0,0,0,8.652,0,scary_cute,dog
2019-01-28 08:11:13,2019-01-28 08:12:58,0,144.121.36.210,100,105,1,2019-01-28 08:12:59,R_2QA7xmGRGxjdEuy,,,,,42.317901611328125,-72.64019775390625,anonymous,EN,,,,,4,2,4,1,,,,,2,3,3,2,0,0,5.014,0,0,0,5.011,0,cute_scary,dog
2019-01-28 08:11:03,2019-01-28 08:13:08,0,144.121.36.212,100,125,1,2019-01-28 08:13:09,R_12R6WqzEwJzktXW,,,,,42.317901611328125,-72.64019775390625,anonymous,EN,0,0,5.11,0,5,1,5,1,0,0,5.111,0,1,2,5,1,,,,,,,,,scary_cute,cat
